amount,amountInHomeCurrency,category,conversionRate,country,countryCode,datePaid,homeCurrency,localCurrency,notes,paidBy,paidFor,kristianallin,egal,susannaallin04,paymentMethod,photo,place,latitude,longitude,type,numberOfDays,excludeFromAvg,addToBudget,categoryId,categoryIcon,categoryColor,paymentMethodId,paymentMethodIcon,paymentMethodColor,paidById,paidToId,splitObjects
"20.00"," 7.91","Groceries","2.529","Peru","PE","2026-03-09","CAD","PEN","Snacks","kristianallin","kristianallin,egal"," 3.96"," 3.95"," 0.00","Cash","","","","","Expense","1","false","false","shopping_cart-false-7c3765bf72361083d820071fb21308a9","shopping_cart","#039BE5","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':10000,'shareInHomeCurrency':3960,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':10000,'shareInHomeCurrency':3950,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"10.50"," 4.15","Shopping","2.529","Peru","PE","2026-03-09","CAD","PEN","Llama + water","kristianallin","kristianallin,egal"," 2.08"," 2.07"," 0.00","Cash","","","","","Expense","1","false","false","local_mall-false-fed561a86e066be5a26232626c4867a2","local_mall","#0F9D58","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':5250,'shareInHomeCurrency':2080,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':5250,'shareInHomeCurrency':2070,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"70.50"," 27.87","Restaurants","2.529","Peru","PE","2026-03-09","CAD","PEN","IZI* Ianana","kristianallin","kristianallin,egal"," 13.94"," 13.93"," 0.00","Credit Card","","","","","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':35250,'shareInHomeCurrency':13940,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':35250,'shareInHomeCurrency':13930,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"171.91"," 67.96","Restaurants","2.529","Peru","PE","2026-03-09","CAD","PEN","Estancia El Solar Sac","kristianallin","kristianallin,egal"," 33.98"," 33.98"," 0.00","Credit Card","","","","","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':85960,'shareInHomeCurrency':33980,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':85950,'shareInHomeCurrency':33980,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"7.80"," 3.08","Transportation","2.529","Peru","PE","2026-03-09","CAD","PEN","Tolls","kristianallin","kristianallin,egal"," 1.54"," 1.54"," 0.00","Cash","","","","","Expense","1","false","false","train-false-a600971fdd23ea1f5685d7ee01d5f5c3","train","#EF6C00","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':3900,'shareInHomeCurrency':1540,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':3900,'shareInHomeCurrency':1540,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"30.00"," 11.86","Transportation","2.529","Peru","PE","2026-03-09","CAD","PEN","Parking","kristianallin","kristianallin,egal"," 5.93"," 5.93"," 0.00","Cash","","","","","Expense","1","false","false","train-false-a600971fdd23ea1f5685d7ee01d5f5c3","train","#EF6C00","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':15000,'shareInHomeCurrency':5930,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':15000,'shareInHomeCurrency':5930,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"8.00"," 3.17","Groceries","2.525","Peru","PE","2026-03-08","CAD","PEN","Convenience store","kristianallin","kristianallin,egal"," 1.59"," 1.58"," 0.00","Cash","","","","","Expense","1","false","false","shopping_cart-false-7c3765bf72361083d820071fb21308a9","shopping_cart","#039BE5","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':4000,'shareInHomeCurrency':1590,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':4000,'shareInHomeCurrency':1580,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"144.00"," 57.04","Restaurants","2.525","Peru","PE","2026-03-08","CAD","PEN","IZI* La Receta Fast Food","kristianallin","kristianallin,egal"," 28.52"," 28.52"," 0.00","Credit Card","","","","","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':72000,'shareInHomeCurrency':28520,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':72000,'shareInHomeCurrency':28520,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"115.00"," 45.55","Gas","2.525","Peru","PE","2026-03-08","CAD","PEN","Una Puno","kristianallin","kristianallin,egal"," 22.78"," 22.77"," 0.00","Credit Card","","","","","Expense","1","false","false","ev_station-false-635459702f9817de29e608fa3395637c","ev_station","#6D4C41","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':57500,'shareInHomeCurrency':22780,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':57500,'shareInHomeCurrency':22770,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"38.00"," 15.05","Drinks","2.525","Peru","PE","2026-03-07","CAD","PEN","Lake Titicaca Hotel","kristianallin","kristianallin,egal"," 7.53"," 7.52"," 0.00","Credit Card","","","","","Expense","1","false","false","local_bar-false-0c96179df5834759b90ee5cb3834a365","local_bar","#673AB7","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':19000,'shareInHomeCurrency':7530,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':19000,'shareInHomeCurrency':7520,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
