amount,amountInHomeCurrency,category,conversionRate,country,countryCode,datePaid,homeCurrency,localCurrency,notes,paidBy,paidFor,kristianallin,egal,paymentMethod,photo,place,latitude,longitude,type,numberOfDays,excludeFromAvg,addToBudget,categoryId,categoryIcon,categoryColor,paymentMethodId,paymentMethodIcon,paymentMethodColor,paidById,paidToId,splitObjects
"5,939.88"," 27.22","Restaurants","218.178","Sri Lanka","LK","2025-09-15","CAD","LKR","Dinner","egal","kristianallin,egal"," 13.61"," 13.61","Cash","","Southern Province, Sri Lanka","6.333","80.029","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","jAoT6CIQr2Nvpcx7t7d0KhKGmlk2","","[{'share':2969940,'shareInHomeCurrency':13610,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':2969940,'shareInHomeCurrency':13610,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"250.00"," 1.15","Restaurants","217.748","Sri Lanka","LK","2025-09-15","CAD","LKR","Coke zero","kristianallin","kristianallin,egal"," 0.58"," 0.57","Cash","","Southern Province, Sri Lanka","6.333","80.032","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':125000,'shareInHomeCurrency':580,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':125000,'shareInHomeCurrency':570,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"350.00"," 1.61","Mail","217.748","Sri Lanka","LK","2025-09-15","CAD","LKR","Postcard stamps","kristianallin","kristianallin,egal"," 0.81"," 0.80","Cash","","Southern Province, Sri Lanka","6.333","80.032","Expense","1","false","false","mail-false-4dfbb099eafd3c82e033bf92946d3ce6","mail","#01579B","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':175000,'shareInHomeCurrency':810,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':175000,'shareInHomeCurrency':800,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
" 59.63"," 59.63","Transportation","1","Sri Lanka","LK","2025-09-15","CAD","CAD","Taxi to airport","kristianallin","kristianallin,egal"," 29.82"," 29.81","Credit Card","","Southern Province, Sri Lanka","6.222","81.327","Expense","1","false","false","train-false-a600971fdd23ea1f5685d7ee01d5f5c3","train","#EF6C00","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':29820,'shareInHomeCurrency':29820,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':29810,'shareInHomeCurrency':29810,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"5,193.00"," 23.85","Restaurants","217.748","Sri Lanka","LK","2025-09-14","CAD","LKR","Dinner","egal","kristianallin,egal"," 11.93"," 11.92","Cash","","Southern Province, Sri Lanka","6.333","80.029","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","jAoT6CIQr2Nvpcx7t7d0KhKGmlk2","","[{'share':2596500,'shareInHomeCurrency':11930,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':2596500,'shareInHomeCurrency':11920,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"6,319.00"," 29.02","Restaurants","217.748","Sri Lanka","LK","2025-09-14","CAD","LKR","Snacks and drinks","egal","kristianallin,egal"," 14.51"," 14.51","Cash","","Southern Province, Sri Lanka","6.333","80.029","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","jAoT6CIQr2Nvpcx7t7d0KhKGmlk2","","[{'share':3159500,'shareInHomeCurrency':14510,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':3159500,'shareInHomeCurrency':14510,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"8,500.00"," 39.04","Restaurants","217.748","Sri Lanka","LK","2025-09-13","CAD","LKR","Dinner","egal","kristianallin,egal"," 19.52"," 19.52","Cash","","Southern Province, Sri Lanka","6.333","80.029","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","jAoT6CIQr2Nvpcx7t7d0KhKGmlk2","","[{'share':4250000,'shareInHomeCurrency':19520,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':4250000,'shareInHomeCurrency':19520,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
" 10.00"," 18.78","SIM Cards","0.532","Sri Lanka","LK","2025-09-13","CAD","GBP","Kristian sim","kristianallin","kristianallin"," 18.78"," 0.00","Cash","","Southern Province, Sri Lanka","6.333","80.029","Expense","1","false","false","phone_iphone-false-64b67263d3b8fa751708f03bab901e64","phone_iphone","#5C6BC0","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':10000,'shareInHomeCurrency':18780,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'}]"
"51,402.00"," 236.73","Activities","217.132","Sri Lanka","LK","2025-09-13","CAD","LKR","Massages","egal","kristianallin,egal"," 118.37"," 118.36","Cash","","Southern Province, Sri Lanka","6.333","80.03","Expense","1","false","false","rowing-false-d78ed35383108fb6c04c16d0a11b20fe","rowing","#E91E63","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","jAoT6CIQr2Nvpcx7t7d0KhKGmlk2","","[{'share':25701000,'shareInHomeCurrency':118370,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':25701000,'shareInHomeCurrency':118360,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"2,000.00"," 9.21","Activities","217.132","Sri Lanka","LK","2025-09-13","CAD","LKR","Turtles","kristianallin","kristianallin,egal"," 4.61"," 4.60","Cash","","Southern Province, Sri Lanka","6.333","80.029","Expense","1","false","false","rowing-false-d78ed35383108fb6c04c16d0a11b20fe","rowing","#E91E63","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':1000000,'shareInHomeCurrency':4610,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':1000000,'shareInHomeCurrency':4600,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
